order_id,customer_id,product_id,carrier_id,order_date,required_date,shipped_date,status,quantity,total_amount,days_delayed
1,95,38,4,2022-06-07,2022-06-30,2022-07-09,delivered,71,4313.96,9
2,6,42,5,2022-05-07,2022-05-24,2022-05-26,Deliverd,23,790.74,2
3,83,4,5,2023-08-03,2023-08-18,2023-09-02,Deleyed,81,35138.61,15
4,85,42,3,2022-11-04,2022-11-17,2022-11-16,Delivered,90,3094.2,0
5,55,42,1,2022-09-19,,,cancelled,86,2956.68,
6,99,7,3,2024-09-22,2024-10-01,2024-10-04,Delivered,65,9945.65,3
7,47,3,4,2024-02-11,2024-02-18,2024-02-20,Deliverd,53,9094.8,2
8,57,44,3,2023-04-25,2023-05-15,2023-05-16,Deliverd,74,285640.0,1
9,83,17,2,2023-02-13,2023-03-13,,Cancelled,7,3312.19,
10,58,6,4,2022-06-21,2022-07-18,2022-07-20,Deliverd,29,8117.39,2
11,37,9,2,2022-06-17,2022-07-01,2022-06-29,delivered,5,1249.6,0
12,15,34,5,2022-06-12,2022-06-15,2022-06-14,Delivered,55,14848.35,0
13,66,2,5,2024-07-25,2024-07-30,2024-08-10,DELIVERED,81,18361.89,11
14,65,35,5,2024-05-03,2024-05-11,2024-05-11,Deliverd,65,14347.45,0
15,46,9,3,2022-02-03,2022-02-17,2022-02-15,delivered,6,1499.52,0
16,6,19,1,2024-09-07,2024-09-30,2024-10-06,DELIVERED,26,10175.62,6
17,84,50,3,2024-08-27,2024-09-07,2024-09-11,DELIVERED,7,2275.49,4
18,11,18,5,2024-03-02,2024-03-15,2024-03-16,delivered,11,4028.97,1
19,45,45,2,2023-08-29,2023-09-10,2023-09-28,DELAYED,57,23087.28,18
20,21,48,5,2022-04-28,2022-05-03,2022-05-19,Deleyed,87,22609.56,16
21,58,10,5,2024-01-21,2024-02-04,2024-02-10,Delayed,87,25245.66,6
22,100,25,5,2023-07-25,2023-08-04,2023-08-03,DELIVERED,72,4874.4,0
23,91,43,3,2022-10-05,2022-11-04,2022-11-05,DELIVERED,45,6695.55,1
24,4,16,2,2022-12-23,2023-01-20,2023-01-18,Deliverd,64,5128.32,0
25,74,50,4,2022-06-26,2022-07-01,2022-07-02,Delivered,53,17228.71,1
26,22,10,5,2023-01-08,2023-02-04,2023-02-02,delivered,39,11317.02,0
27,79,41,2,2022-06-11,2022-06-22,2022-06-29,delivered,39,4501.38,7
28,6,2,1,2023-11-23,2023-12-22,,cancelled,11,2493.59,
29,62,42,3,2022-03-04,2022-03-22,,CANCELLED,39,1340.82,
30,19,22,2,2024-06-19,2024-07-05,2024-07-24,DELAYED,78,35714.64,19
31,7,10,2,2022-08-06,2022-08-19,2022-08-19,Deliverd,13,3772.34,0
32,40,30,5,2023-11-02,2023-11-23,2023-11-22,Deliverd,64,31608.96,0
33,14,35,3,2023-12-24,2023-12-28,2023-12-30,DELIVERED,2,441.46,2
34,65,5,3,2023-02-03,2023-02-17,,Cancelled,50,5487.0,
35,6,26,5,2023-11-26,2023-12-16,2023-12-25,DELIVERED,65,13028.6,9
36,39,40,4,2024-11-21,2024-11-28,2024-12-04,Deliverd,95,33660.4,6
37,84,39,1,2024-01-25,2024-02-07,2024-02-19,delivered,61,8546.71,12
38,54,29,1,2024-02-18,2024-02-25,2024-02-23,Deliverd,41,16220.42,0
39,41,34,4,2022-05-08,2022-06-02,2022-06-04,DELIVERED,49,13228.53,2
40,39,18,2,2023-06-26,2023-07-18,2023-07-29,Deleyed,72,11250.72,11
41,38,23,4,2023-07-15,2023-07-27,2023-07-29,Delivered,99,40021.74,2
42,79,9,3,2024-09-08,2024-09-17,2024-09-26,Delivered,14,3498.88,9
43,99,7,4,2022-04-18,2022-04-24,2022-05-09,delayed,88,13464.88,15
44,99,42,3,2024-09-04,2024-09-27,2024-10-03,Delivered,8,275.04,6
45,5,48,,2022-12-27,2022-12-31,2023-01-20,Delayed,38,9875.44,20
46,21,8,2,2024-12-09,2024-12-27,2025-01-07,,43,18634.91,11
47,42,28,4,2023-01-31,2023-02-08,,Canceled,66,6798.66,
48,43,49,4,2022-01-14,2022-01-25,2022-02-06,Delayed,35,2971.85,12
49,48,41,1,2022-08-31,2022-09-17,2022-09-19,delivered,38,4385.96,2
50,86,49,4,2024-02-05,2024-02-21,,Cancelled,69,5858.79,
51,69,13,5,2022-08-18,2022-08-22,,CANCELLED,74,23467.62,
52,54,9,4,2022-07-06,2022-07-25,2022-07-31,Deleyed,66,,6
53,90,28,1,2023-06-06,2023-07-05,2023-07-09,Delivered,45,4635.45,4
54,49,29,4,2023-01-04,2023-01-31,2023-02-07,delivered,49,19385.38,7
55,87,20,1,2024-03-15,2024-04-03,2024-04-03,Deliverd,60,18854.4,0
56,9,16,1,2023-07-19,,2023-07-29,Delivered,27,2163.51,1
57,77,21,5,2023-03-21,2023-04-17,2023-04-17,delivered,74,4008.58,0
58,55,41,2,2023-03-29,2023-04-14,2023-04-16,DELIVERED,87,10041.54,2
59,24,20,2,2023-10-15,2023-11-09,2023-11-27,delayed,49,15397.76,18
60,50,34,5,2022-04-29,2022-05-19,2022-06-06,Delayed,18,4859.46,18
61,98,5,1,2023-01-26,2023-01-30,2023-02-01,delivered,25,2743.5,2
62,91,45,2,2022-02-01,2022-02-10,2022-02-24,DELIVERED,78,31593.12,14
63,98,47,1,2024-01-06,2024-01-18,2024-01-19,DELIVERED,61,13632.28,1
64,26,19,4,2022-10-26,2022-10-29,2022-10-31,delivered,20,7827.4,2
65,46,11,4,2023-06-12,2023-07-09,2023-07-29,Deleyed,94,6754.84,20
66,81,27,1,2022-05-01,2022-05-20,2022-05-19,Delivered,18,468.54,0
67,53,35,,2024-09-16,2024-10-10,2024-10-15,DELAYED,71,15671.83,5
68,80,16,2,2024-05-31,2024-06-28,2024-06-26,DELIVERED,25,2003.25,0
69,98,42,1,2024-07-29,2024-08-19,2024-08-28,Deliverd,84,,9
70,68,37,3,2022-12-17,2022-12-22,2023-01-09,Deleyed,13,3707.86,18
71,3,12,1,2023-07-29,2023-08-18,,CANCELLED,41,19896.48,
72,89,25,3,2024-03-07,2024-03-31,,cancelled,97,36130.56,
73,42,26,,2023-11-29,2023-12-21,,CANCELLED,100,20044.0,
74,80,6,4,2024-06-03,2024-06-11,,Cancelled,99,27711.09,
75,1,7,3,2022-11-12,2022-12-08,2022-12-23,DELAYED,12,1836.12,15
76,50,39,,2024-11-15,2024-12-01,2024-12-01,Delivered,77,30366.49,0
77,22,44,2,2023-05-13,2023-06-03,,CANCELLED,49,189140.0,
78,59,40,5,2023-09-06,2023-09-24,2023-09-23,Deliverd,26,9212.32,0
79,89,21,3,2023-11-06,2023-11-23,2023-11-25,Deliverd,78,4225.26,2
80,26,8,3,2024-10-02,2024-10-23,2024-10-23,Delivered,73,31636.01,0
81,39,9,4,2024-06-16,2024-07-14,2024-07-19,Deliverd,82,20493.44,5
82,90,3,5,2024-09-08,2024-09-29,2024-10-17,Delayed,47,8065.2,18
83,87,37,1,2022-12-07,2022-12-30,,cancelled,83,,
84,89,36,5,2023-06-14,2023-06-24,,CANCELLED,75,25990.5,
85,19,8,1,2022-11-05,2022-11-19,2022-11-19,delivered,94,40736.78,0
86,87,42,3,2024-07-15,2024-07-28,2024-07-26,delivered,14,481.32,0
87,95,26,4,2024-05-23,2024-06-09,2024-06-11,Deliverd,4,801.76,2
88,59,21,3,2022-05-09,2022-05-30,2022-06-04,Deliverd,26,1408.42,5
89,39,44,2,2024-03-14,2024-04-04,2024-04-05,delivered,91,351260.0,1
90,55,37,2,2024-02-04,2024-02-29,2024-03-01,delivered,50,14261.0,1
91,18,1,3,2023-10-07,2023-11-05,2023-11-11,Deleyed,63,303244.2,6
92,29,3,3,2024-06-28,2024-07-16,2024-07-14,Deliverd,36,6177.6,0
93,47,18,1,2024-11-12,2024-11-18,,CANCELLED,100,27612.0,
94,31,8,4,2023-05-22,2023-06-03,2023-06-03,DELIVERED,100,43337.0,0
95,77,35,3,2022-10-13,2022-11-10,2022-11-18,DELIVERED,36,7946.28,8
96,90,42,3,2022-07-15,2022-07-22,2022-07-28,DELAYED,17,584.46,6
97,49,41,3,2024-09-29,2024-10-06,,Cancelled,54,6232.68,
98,94,1,5,2024-01-26,2024-02-12,2024-02-27,DELAYED,100,481340.0,15
99,17,36,3,2024-05-29,2024-06-27,2024-06-27,DELIVERED,74,25643.96,0
100,26,1,4,2024-07-30,2024-08-02,2024-08-17,DELIVERED,55,264737.0,15
101,93,41,4,2024-01-09,2024-01-20,2024-01-19,Delivered,,4616.8,0
102,16,45,1,2022-09-29,2022-10-20,2022-10-21,delivered,44,17821.76,1
103,18,50,4,2022-07-29,2022-08-04,2022-08-04,Delivered,,31531.79,0
104,28,44,5,2024-06-20,2024-07-04,2024-07-10,Delivered,57,220020.0,6
105,37,39,5,2023-10-07,2023-11-04,2023-11-02,DELIVERED,77,27980.26,0
106,64,8,4,2024-03-13,2024-03-25,2024-04-01,Delivered,31,13434.47,7
107,99,49,2,2024-05-11,2024-05-25,,Cancelled,61,5179.51,
108,11,45,4,2024-03-26,2024-04-14,2024-04-23,delivered,52,21062.08,9
109,56,20,1,2023-02-21,2023-03-21,2023-03-22,Delivered,90,28281.6,1
110,93,32,2,2022-04-23,2022-05-05,2022-05-04,DELIVERED,45,11982.15,0
111,92,5,5,2023-11-18,2023-12-16,2023-12-29,Deleyed,34,3731.16,13
112,66,15,,2022-12-08,2022-12-22,2022-12-20,Delivered,95,7726.35,0
113,93,16,3,2022-11-04,2022-11-12,2022-11-13,DELIVERED,54,4327.02,1
114,60,26,1,2023-04-03,2023-05-01,,cancelled,9,,
115,32,48,3,2023-02-15,2023-02-27,,CANCELLED,80,20790.4,
116,2,23,5,2023-05-18,,2023-05-31,Deliverd,82,34553.98,6
117,36,10,1,2024-12-21,2024-12-31,2025-01-20,Deleyed,92,26696.56,20
118,56,37,5,2022-06-23,2022-07-14,2022-07-15,DELIVERED,8,2281.76,1
119,18,5,2,2023-10-31,2023-11-13,2023-11-26,delayed,26,2853.24,13
