product_id,product_name,category,unit_price,weight_kg,supplier_id
1,Product_001,Chemicals,4813.4,41.16,6
2,Product_002,Medical Supplies,226.69,23.77,11
3,Product_003,Quimicos,171.6,2.32,9
4,Product_004,Machinery,433.81,9.79,16
5,Product_005,Electroncs,109.74,48.67,8
6,Product_006,Perishables,279.91,47.38,5
7,Product_007,medical supplies,153.01,27.79,20
8,Product_008,Chemical,433.37,0.63,19
9,Product_009,Medical Supplies,249.92,19.17,7
10,Product_010,,290.18,40.66,5
11,Product_011,Electroncs,71.86,26.53,5
12,Product_012,Med. Supplies,485.28,42.66,18
13,Product_013,Perisables,317.13,31.74,8
14,Product_014,Machinery,489.39,2.78,10
15,Product_015,Machinery,81.33,30.67,8
16,Product_016,Textil,80.13,23.53,18
17,Product_017,Maquinaria,473.17,42.34,13
18,Product_018,Electronics,,41.59,1
19,Product_019,Medical Supplies,391.37,38.9,12
20,Product_020,chemicals,314.24,15.79,19
21,Product_021,Chemical,54.17,48.59,9
22,Product_022,perishables,457.88,48.16,8
23,Product_023,Medical Supplies,,27.06,9
24,Product_024,Medical Supply,470.74,16.74,3
25,Product_025,Machinary,,49.8,8
26,Product_026,Chemicals,200.44,21.04,16
27,Product_027,Perisables,26.03,49.06,12
28,Product_028,Perisables,103.01,,11
29,Product_029,Chemicals,395.62,16.76,
30,Product_030,chemicals,493.89,18.23,19
31,Product_031,Chemical,140.03,39.01,4
32,Product_032,Chemicals,,49.93,14
33,Product_033,Machinery,359.08,31.4,11
34,Product_034,Textiles,269.97,32.91,18
35,Product_035,Chemical,220.73,5.21,9
36,Product_036,Chemicals,346.54,37.07,18
37,Product_037,TEXTILES,285.22,43.47,10
38,Product_038,Perishable,60.76,42.35,9
39,Product_039,Machinery,,46.49,
40,Product_040,perishables,354.32,33.04,1
41,Product_041,Textil,115.42,47.1,2
42,Product_042,TEXTILES,34.38,14.02,4
43,Product_043,ELECTRONICS,148.79,,7
44,Product_044,Quimicos,3860.0,9.2,8
45,Product_045,Medical Supplies,405.04,16.0,13
46,Product_046,Maquinaria,151.86,34.64,14
47,Product_047,Chemicals,223.48,16.99,17
48,Product_048,Textil,259.88,7.81,9
49,Product_049,Textiles,84.91,37.85,15
50,Product_050,Textil,325.07,3.88,10
